"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation","minusLog10P","minusLog10FDR","Mean_expression","log2Mean_expression","Direction"
"AQP7P1","Mock","ZIKV",1.70333,0.364215,-2.2255,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.0337725,1.02415830678722,"Down in ZIKV"
"EFCAB1","Mock","ZIKV",1.66037,0.361564,-2.19918,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,1.010967,1.00788940718927,"Down in ZIKV"
"WNT8B","Mock","ZIKV",45.952,10.0449,-2.19366,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,27.99845,4.85790388350428,"Down in ZIKV"
"PI15","Mock","ZIKV",18.3203,4.05363,-2.17615,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,11.186965,3.60726698174647,"Down in ZIKV"
"OTX2-AS1","Mock","ZIKV",0.858558,0.190734,-2.17035,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.524646,0.608474309344397,"Down in ZIKV"
"LOC100507032","Mock","ZIKV",1.15984,0.258594,-2.16517,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.709217,0.773335571355701,"Down in ZIKV"
"GINS3","Mock","ZIKV",6.46625,1.44722,-2.15965,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,3.956735,2.30939013062478,"Down in ZIKV"
"MFGE8","Mock","ZIKV",40.2086,9.30133,-2.112,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,24.754965,4.68677867438321,"Down in ZIKV"
"SPARCL1","Mock","ZIKV",4.20209,0.974964,-2.10768,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,2.588527,1.8433917755571,"Down in ZIKV"
"TPBG","Mock","ZIKV",191.205,44.9644,-2.08826,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,118.0847,6.89584425745157,"Down in ZIKV"
"SLC35G1","Mock","ZIKV",1.02038,0.240317,-2.08609,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV",4.30102999566398,3.49391970324695,0.6303485,0.70518038499708,"Down in ZIKV"
