"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","15/173","175/9399",0.0857142857142857,4.65681255161024,6.68645802970809,7.25709583730828e-07,0.000254724063889521,0.000254724063889521,"6238/10483/6747/9709/1649/9871/5611/10525/4780/9451/84447/7494/55432/10802/51009",15
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","7/173","34/9399",0.205882352941176,11.1854811288677,8.14706465558844,2.2423684064309e-06,0.000393535655328623,0.000393535655328623,"8864/1408/8553/5187/79365/9572/1628",7
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","9/173","75/9399",0.12,6.51953757225434,6.57152614416872,8.71775515616744e-06,0.00101997735327159,0.00101997735327159,"440/1491/29968/26227/445/84706/5831/100526760/6472",9
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","10/173","110/9399",0.0909090909090909,4.93904361534419,5.69032009829027,3.30037706162488e-05,0.00289608087157583,0.00289608087157583,"650/9241/652/4609/4092/25805/6498/90/3547/83729",10
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","6/173","39/9399",0.153846153846154,8.35838150289017,6.30537218248121,7.02673011829061e-05,0.00493276454304001,0.00493276454304001,"10797/1491/23382/160428/29958/6472",6
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","9/173","109/9399",0.0825688073394495,4.48592034788142,5.01252899885687,0.000173337840064056,0.0101402636437473,0.0101402636437473,"64764/8660/2308/90993/5507/10891/57761/5106/79660",9
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","9/173","122/9399",0.0737704918032787,4.00791244195963,4.57904987546896,0.000404384183909155,0.0202769783645876,0.0202769783645876,"1978/64764/8660/2308/90993/5521/10891/148/5106",9
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","5/173","41/9399",0.121951219512195,6.6255463132666,4.9430972993085,0.00087377346691182,0.0383368108607561,0.0383368108607561,"1491/29968/26227/29958/6472",5
