"Gene","Group_1","Group_2","Mock_expression","ZIKV_expression","log2FoldChange","pvalue","Original_significant_call","padj","Regulation"
"FANCB","Mock","ZIKV",1.77015,0.636514,-1.47561,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BIRC5","Mock","ZIKV",38.673,13.93,-1.47313,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HES6","Mock","ZIKV",458.282,165.232,-1.47174,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ATP1A2","Mock","ZIKV",0.705665,0.254622,-1.47062,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SGOL2","Mock","ZIKV",10.4207,3.77349,-1.46548,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC642846","Mock","ZIKV",3.36894,1.22217,-1.46285,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SMIM7","Mock","ZIKV",30.4819,11.0582,-1.46284,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OLFML2A","Mock","ZIKV",1.05767,0.384278,-1.46067,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OLIG3","Mock","ZIKV",6.48879,2.36295,-1.45736,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PSMG3-AS1","Mock","ZIKV",3.31998,1.20939,-1.4569,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HYAL2","Mock","ZIKV",42.9039,15.6534,-1.45464,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MKRN3","Mock","ZIKV",21.1597,7.74115,-1.4507,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C10orf114","Mock","ZIKV",6.45843,2.36357,-1.45021,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC38A4","Mock","ZIKV",2.24434,0.824021,-1.44554,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ACTC1","Mock","ZIKV",4.33595,1.59555,-1.44229,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OLFML2B","Mock","ZIKV",2.9443,1.08346,-1.44228,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ATF6B","Mock","ZIKV",51.4517,18.9395,-1.44182,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ARHGEF6","Mock","ZIKV",3.43016,1.26416,-1.44009,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"EMB","Mock","ZIKV",5.61677,2.07003,-1.44009,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MFAP2","Mock","ZIKV",71.5649,26.4559,-1.43566,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ORC6","Mock","ZIKV",25.5913,9.46072,-1.43563,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC19A1","Mock","ZIKV",6.71354,2.48242,-1.43533,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CPAMD8","Mock","ZIKV",2.07057,0.766279,-1.43408,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MIS18BP1","Mock","ZIKV",11.9929,4.45353,-1.42916,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TMEM194A","Mock","ZIKV",18.3202,6.80743,-1.42825,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KCNAB3","Mock","ZIKV",2.01764,0.752086,-1.4237,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDCA7","Mock","ZIKV",16.0813,5.99482,-1.42359,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MAPK11","Mock","ZIKV",36.4828,13.6309,-1.42034,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DPY19L2","Mock","ZIKV",3.36007,1.25621,-1.41942,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC100272228","Mock","ZIKV",7.04284,2.64307,-1.41395,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ITGB5","Mock","ZIKV",13.3888,5.048,-1.40724,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CENPI","Mock","ZIKV",6.12824,2.31591,-1.40389,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RABL2A","Mock","ZIKV",9.71278,3.67137,-1.40357,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C19orf57","Mock","ZIKV",2.42022,0.915129,-1.40309,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TNFAIP8","Mock","ZIKV",2.23079,0.845925,-1.39895,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"KIAA0101","Mock","ZIKV",13.6888,5.19246,-1.39851,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"MCM10","Mock","ZIKV",9.08775,3.44719,-1.3985,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RBM14","Mock","ZIKV",16.144,6.12616,-1.39794,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SEPT10","Mock","ZIKV",22.5815,8.57177,-1.39748,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"METTL3","Mock","ZIKV",34.5605,13.135,-1.39571,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IRS4","Mock","ZIKV",7.59487,2.89875,-1.38959,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PLEKHH2","Mock","ZIKV",0.912058,0.348232,-1.38908,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"FOSB","Mock","ZIKV",134.086,51.3114,-1.38581,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PIGW","Mock","ZIKV",2.82191,1.0853,-1.37857,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CEMP1","Mock","ZIKV",8.49384,3.26927,-1.37745,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"BHLHE23","Mock","ZIKV",3.20201,1.23277,-1.37707,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ARGLU1","Mock","ZIKV",173.807,67.0666,-1.37382,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"APOLD1","Mock","ZIKV",2.30218,0.88837,-1.37377,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDH24","Mock","ZIKV",25.8319,9.98442,-1.3714,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LENG8","Mock","ZIKV",71.2716,27.557,-1.37091,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IQGAP3","Mock","ZIKV",10.2495,3.96793,-1.3691,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"POLD1","Mock","ZIKV",18.2362,7.07088,-1.36684,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"OGFOD3","Mock","ZIKV",5.96806,2.32256,-1.36155,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PROCA1","Mock","ZIKV",7.37259,2.87315,-1.35954,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"POLA2","Mock","ZIKV",11.157,4.35755,-1.35636,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"B3GNTL1","Mock","ZIKV",3.94546,1.54418,-1.35335,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CDKN2C","Mock","ZIKV",6.63467,2.60034,-1.35133,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SUZ12P1","Mock","ZIKV",27.4597,10.767,-1.3507,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DNAI1","Mock","ZIKV",4.27431,1.67599,-1.35068,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TRABD2B","Mock","ZIKV",1.5532,0.609365,-1.34986,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TTC31","Mock","ZIKV",10.2527,4.03819,-1.34422,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"NUP62CL","Mock","ZIKV",4.38912,1.73332,-1.34039,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"PLEKHB1","Mock","ZIKV",3.52025,1.39041,-1.34017,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SLC18A1","Mock","ZIKV",14.4419,5.70924,-1.33889,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"CAHM","Mock","ZIKV",4.99498,1.97965,-1.33524,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SMIM11","Mock","ZIKV",10.6679,4.22808,-1.3352,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"IGFBP4","Mock","ZIKV",13.8159,5.49098,-1.33119,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"VWA1","Mock","ZIKV",4.46397,1.77588,-1.32979,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"GPC3","Mock","ZIKV",181.68,72.3287,-1.32876,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"TOP2A","Mock","ZIKV",90.5651,36.0761,-1.32791,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"USP43","Mock","ZIKV",4.42546,1.76302,-1.32777,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"DNA2","Mock","ZIKV",7.83487,3.12304,-1.32696,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SNHG3","Mock","ZIKV",6.28345,2.50514,-1.32666,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"RMI2","Mock","ZIKV",15.5622,6.20946,-1.3255,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"SIRPA","Mock","ZIKV",2.97538,1.18804,-1.32449,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ZNF732","Mock","ZIKV",1.35273,0.541134,-1.32182,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ATP5S","Mock","ZIKV",7.56457,3.02638,-1.32167,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"HCG18","Mock","ZIKV",9.04824,3.62454,-1.31984,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"ADAM11","Mock","ZIKV",2.53183,1.01529,-1.31829,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"LOC646903","Mock","ZIKV",4.41806,1.77333,-1.31695,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
"C1orf106","Mock","ZIKV",6.26078,2.51774,-1.31421,5e-05,"yes",0.000320686218678815,"Down_in_ZIKV"
