feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000132963,-11.920324,-0.681404,9.274685319626218e-33,1.0039681239114673e-29,POMP
ENSG00000157514,11.912608,3.0325346,1.0174411178217038e-32,1.0820397038812959e-29,TSC22D3
ENSG00000100889,11.897176,2.1678998,1.2242001870598281e-32,1.2733909399334993e-29,PCK2
ENSG00000229117,-11.896147,-0.57863915,1.2393814720809722e-32,1.2733909399334993e-29,RPL41
ENSG00000173660,-11.842649,-0.7554809,2.3491398981546178e-32,2.3733751914372463e-29,UQCRH
ENSG00000136942,-11.814871,-0.7155715,3.270501718898919e-32,3.2500744868513703e-29,RPL35
ENSG00000109220,11.782978,1.6688807,4.777483265613342e-32,4.67106867868089e-29,CHIC2
ENSG00000135069,11.68627,0.96897024,1.4982381167822163e-31,1.4416142285908123e-28,PSAT1
ENSG00000182004,-11.660035,-0.778692,2.0395863054758272e-31,1.9318387851818622e-28,SNRPE
ENSG00000174547,-11.641002,-0.63232005,2.5500217575615775e-31,2.3781502911019273e-28,MRPL11
ENSG00000112695,-11.627113,-0.5801661,3.000753997287103e-31,2.7561016145688926e-28,COX7A2
ENSG00000134107,11.624284,2.4895205,3.1018393304112724e-31,2.8064238562716556e-28,BHLHE40
ENSG00000166986,11.5921335,0.8957996,4.517385078414256e-31,4.027049501005791e-28,MARS1
ENSG00000086598,11.539149,0.6372919,8.374906541834346e-31,7.357658835644294e-28,TMED2
ENSG00000177971,-11.512658,-1.0823882,1.13912789076965e-30,9.864684801509346e-28,IMP3
ENSG00000089009,-11.50417,-0.69814336,1.2569267417934375e-30,1.0731498895883998e-27,RPL6
ENSG00000149150,11.501083,1.4840469,1.302696262916091e-30,1.0967797883570904e-27,SLC43A1
ENSG00000176142,11.489252,1.4695431,1.4939946987766414e-30,1.240609104727962e-27,TMEM39A
ENSG00000169976,-11.483336,-0.8522879,1.599850380859011e-30,1.3105585167201672e-27,SF3B5
ENSG00000248498,11.477936,2.8490117,1.7029867152364333e-30,1.3764446892122313e-27,ASNSP1
ENSG00000140105,11.457873,1.2508361,2.1472209482556744e-30,1.712662982398825e-27,WARS1
ENSG00000169567,-11.439869,-0.6622386,2.642833540927481e-30,2.0805964469802982e-27,HINT1
ENSG00000090520,11.433182,0.72543544,2.8545292770284342e-30,2.218445003130598e-27,DNAJB11
ENSG00000118418,-11.416721,-0.8747794,3.450062724556624e-30,2.64733357341643e-27,HMGN3
ENSG00000136810,-11.412091,-0.76346934,3.638737330474967e-30,2.757207727950775e-27,TXN
ENSG00000144566,11.410548,1.6203504,3.703877017532035e-30,2.7719175422935115e-27,RAB5A
ENSG00000168653,-11.406947,-0.784858,3.860405148734322e-30,2.8538280452576326e-27,NDUFS5
ENSG00000164096,-11.402832,-1.1620947,4.047346779742031e-30,2.955977282423882e-27,ARLN
ENSG00000196756,11.36168,1.6113809,6.488498149008009e-30,4.682455586841863e-27,SNHG17
ENSG00000140941,11.343676,1.0490353,7.97242868727753e-30,5.6856547599303134e-27,MAP1LC3B
ENSG00000133872,11.334673,0.8197183,8.836117308284591e-30,6.228332501289578e-27,SARAF
ENSG00000196230,-11.328757,-1.1156863,9.453607547938865e-30,6.58699121779892e-27,TUBB
ENSG00000065911,11.323613,1.4767274,1.0025244112040209e-29,6.905912191224608e-27,MTHFD2
ENSG00000198242,-11.321041,-0.54165274,1.0323795009471584e-29,7.031664378417505e-27,RPL23A
ENSG00000198830,-11.299951,-1.3689098,1.3129132302786807e-29,8.843054122918149e-27,HMGN2
ENSG00000163435,11.267544,1.688864,1.8979148968431236e-29,1.2642824519970693e-26,ELF3
ENSG00000135930,-11.253912,-0.88569456,2.2154410053271997e-29,1.4597588945861906e-26,EIF4E2
ENSG00000198804,11.249282,0.52984107,2.3348500387217918e-29,1.5218954247018956e-26,MT-CO1
ENSG00000132967,-11.248253,-0.96088904,2.362240647230162e-29,1.5233687850472893e-26,HMGB1P5
