feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000130513,9.731017,1.7444617,2.2235759903680806e-22,2.406981302859333e-19,GDF15
ENSG00000177889,-9.729212,-0.48087317,2.2633940532726426e-22,2.407099721321655e-19,UBE2N
ENSG00000145050,9.707547,1.0809741,2.799942983334472e-22,2.9263748914957303e-19,MANF
ENSG00000072849,9.685681,0.790154,3.46887808655555e-22,3.504665345481848e-19,DERL2
ENSG00000178381,9.685882,0.95217156,3.462074383392505e-22,3.504665345481848e-19,ZFAND2A
ENSG00000110104,-9.598921,-0.9037243,8.078580159757667e-22,8.028122142694263e-19,CCDC86
ENSG00000110955,-9.590195,-0.3495139,8.791900489210077e-22,8.596067996055253e-19,ATP5F1B
ENSG00000095380,9.57876,0.78819203,9.821671628649596e-22,9.450474800906506e-19,NANS
ENSG00000161203,-9.532221,-0.575147,1.5395427423096707e-21,1.4582115858760927e-18,AP2M1
ENSG00000143368,-9.490896,-0.9189839,2.2905576641463348e-21,2.136174077582872e-18,SF3B4
ENSG00000111669,-9.439342,-0.38763186,3.751287388515717e-21,3.445443790976277e-18,TPI1
ENSG00000187608,9.40233,1.0222484,5.336764498196285e-21,4.828497419644188e-18,ISG15
ENSG00000118363,9.390495,0.66191417,5.9718914114255114e-21,5.323677727488281e-18,SPCS2
ENSG00000272398,-9.286683,-0.6803034,1.591709285629004e-20,1.398374278051371e-17,CD24
ENSG00000131051,9.27886,0.49524564,1.713017465934121e-20,1.4834486538208642e-17,RBM39
ENSG00000101220,-9.267426,-0.8353285,1.906929816550422e-20,1.628115190837606e-17,ADISSP
ENSG00000108960,-9.258599,-0.7187175,2.071320599727573e-20,1.743908103262302e-17,MMD
ENSG00000125995,9.245961,0.38765332,2.3313603070616402e-20,1.9359552116954732e-17,ROMO1
ENSG00000177410,9.217776,0.8693052,3.033247654583191e-20,2.484762696934844e-17,ZFAS1
ENSG00000149428,9.175349,1.1598737,4.501138077077123e-20,3.6380598545911745e-17,HYOU1
ENSG00000109084,-9.173544,-0.7347444,4.577195044489335e-20,3.650855084235513e-17,TMEM97
ENSG00000106080,9.170936,1.5698221,4.689302944783716e-20,3.691699418309663e-17,FKBP14
ENSG00000074800,-9.13924,-0.37327603,6.289238092838893e-20,4.8877862044846266e-17,ENO1
ENSG00000163993,9.132921,0.9055775,6.667510637343796e-20,5.1161750294321965e-17,S100P
ENSG00000177683,9.119181,0.9945443,7.569458659399784e-20,5.735662680926943e-17,THAP5
ENSG00000198832,9.033624,0.75913894,1.660793374714465e-19,1.2429090565656314e-16,SELENOM
