symbol,DENV_log2FC,DENV_padj,DENV_dir,ZIKV_log2FC,ZIKV_padj,ZIKV_dir,concordant,direction
ARMCX3,1.101977547283493,0.0161914315419188,up,1.0626630617821058,0.003957316191761,up,True,up
BIRC3,3.2334181854577007,0.0430168987184399,up,4.6000351764378085,0.0023271970484809,up,True,up
CCDC86,-0.7328786436701541,0.0430168987184399,down,-0.7959583409521519,0.0270013670074001,down,True,down
CXCL1,2.211327419643071,2.2017877024896263e-08,up,1.0826174943579645,0.0398416903686447,up,True,up
DHRS3,0.6578259070504362,0.0277655430747868,up,1.0045552956329131,0.0036704278589837,up,True,up
ERO1B,1.875137989191172,0.0019546155695309,up,1.5815192156442666,0.0094666297971821,up,True,up
LMCD1,0.981688366977497,0.0483494941552177,up,1.2159897374793365,0.0114562338968458,up,True,up
PLA2G4C,1.7630989734533202,0.0412376136143733,up,3.306264140215424,3.618135933122819e-05,up,True,up
SLC1A4,1.2311000428435237,0.0464033851278658,up,1.984650119485948,1.6604900837334663e-06,up,True,up
TBX15,2.3138632297212096,0.0354696159432749,up,1.957450230181037,0.0281221209931447,up,True,up
TSPYL2,1.5298801163909612,0.0023446037716224,up,2.1022064903234967,0.0001677744560849,up,True,up
TUBB4B,-0.8420901217712227,0.0241991984312174,down,-0.9367381727246964,0.0457602865701062,down,True,down
