"root_cell_id"
"GSM2992421"
"GSM2992422"
"GSM2992423"
"GSM2992424"
"GSM2992425"
"GSM2992426"
"GSM2992427"
"GSM2992428"
"GSM2992429"
"GSM2992430"
"GSM2992431"
"GSM2992432"
"GSM2992433"
"GSM2992434"
"GSM2992435"
"GSM2992436"
"GSM2992437"
"GSM2992438"
"GSM2992439"
"GSM2992440"
"GSM2992441"
"GSM2992442"
"GSM2992443"
"GSM2992444"
"GSM2992445"
"GSM2992446"
"GSM2992447"
"GSM2992448"
"GSM2992449"
"GSM2992450"
"GSM2992451"
"GSM2992452"
"GSM2992453"
"GSM2992454"
"GSM2992455"
"GSM2992456"
"GSM2992457"
"GSM2992458"
"GSM2992459"
"GSM2992460"
"GSM2992461"
"GSM2992462"
"GSM2992463"
"GSM2992464"
"GSM2992465"
"GSM2992466"
"GSM2992467"
"GSM2992468"
"GSM2992469"
"GSM2992470"
"GSM2992471"
"GSM2992472"
"GSM2992473"
"GSM2992474"
"GSM2992475"
"GSM2992476"
"GSM2992477"
"GSM2992478"
"GSM2992479"
"GSM2992480"
"GSM2992481"
"GSM2992482"
"GSM2992483"
"GSM2992484"
"GSM2992485"
"GSM2992486"
"GSM2992487"
"GSM2992488"
"GSM2992489"
"GSM2992490"
"GSM2992491"
"GSM2992492"
"GSM2992493"
"GSM2992494"
"GSM2992495"
"GSM2992496"
"GSM2992497"
"GSM2992498"
"GSM2992499"
"GSM2992500"
"GSM2992751"
"GSM2992752"
"GSM2992753"
"GSM2992754"
"GSM2992755"
"GSM2992756"
"GSM2992757"
"GSM2992758"
"GSM2992759"
"GSM2992760"
"GSM2992761"
"GSM2992762"
"GSM2992763"
"GSM2992764"
"GSM2992765"
"GSM2992766"
"GSM2992767"
"GSM2992768"
"GSM2992769"
"GSM2992770"
"GSM2992771"
"GSM2992772"
"GSM2992773"
"GSM2992774"
"GSM2992775"
"GSM2992776"
"GSM2992777"
"GSM2992778"
"GSM2992779"
"GSM2992780"
"GSM2992781"
"GSM2992782"
"GSM2992783"
"GSM2992784"
"GSM2992785"
"GSM2992786"
"GSM2992787"
"GSM2992788"
"GSM2992789"
"GSM2992790"
