"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ENSG00000186432","OK",0.000749422802786508,3.17490694214174,0.0199536821835871,"ENSG00000186432",0.00183935125522563
"ENSG00000198221","OK",0.000749698110641894,3.17480035945901,0.0182334900160385,"ENSG00000198221",0.00183970949407517
"ENSG00000253251","OK",0.000759075518376134,3.17119135108604,0.0188246376512224,"ENSG00000253251",0.00186239970637636
"ENSG00000139083","OK",0.00076408322746885,3.16928086270139,0.0192902509675945,"ENSG00000139083",0.00187436283964979
"ENSG00000101901","OK",0.000766663206670377,3.16830107334261,0.0197800280639921,"ENSG00000101901",0.00188036744067473
"ENSG00000180914","OK",0.000771093202393269,3.16662577195269,0.0189177585323713,"ENSG00000180914",0.0018909066582137
"ENSG00000163739","OK",0.000772988365149229,3.16591177974844,0.019891804854779,"ENSG00000163739",0.00189522729141829
"ENSG00000015676","OK",0.000783273747760515,3.16206470818932,0.0198945291613426,"ENSG00000015676",0.0019201141872454
"ENSG00000135912","OK",0.000783884549396163,3.16183771427289,0.0197936305517111,"ENSG00000135912",0.00192128036292635
"ENSG00000006757","OK",0.000787703164903968,3.16042227227951,0.0198013321578978,"ENSG00000006757",0.0019303070493503
"ENSG00000119396","OK",0.000794590393785482,3.157885288316,0.0195991354204705,"ENSG00000119396",0.00194684912503202
"ENSG00000124571","OK",0.000796938771605894,3.15702486513607,0.0198416750300037,"ENSG00000124571",0.00195226664632288
"ENSG00000116685","OK",0.0008032881921415,3.15471013145136,0.0198058389327691,"ENSG00000116685",0.00196748199704297
"ENSG00000159228","OK",0.000803911307791259,3.15448387784974,0.019849549827932,"ENSG00000159228",0.00196866916851155
"ENSG00000178096","OK",0.000809125403577586,3.15259693842143,0.0196585747862506,"ENSG00000178096",0.00198109668016595
"ENSG00000166526","OK",0.000818015154480627,3.14940546473662,0.0198284754142757,"ENSG00000166526",0.00200251799349018
"ENSG00000076108","OK",0.000818225149874828,3.14933046173501,0.0197754011970463,"ENSG00000076108",0.00200268736993111
"ENSG00000169756","OK",0.000819373298645182,3.14892069612753,0.0197193584212107,"ENSG00000169756",0.00200515251662602
"ENSG00000165714","OK",0.000825944391041204,3.14658563908203,0.0196332601609214,"ENSG00000165714",0.00202088544190247
"ENSG00000244045","OK",0.000826990386621873,3.14621551958225,0.0198007659468667,"ENSG00000244045",0.00202309670948106
"ENSG00000111859","OK",0.000828256954083672,3.14576792813082,0.0196524074294544,"ENSG00000111859",0.0020258467167553
"ENSG00000004487","OK",0.00083058574968433,3.14494659756777,0.0198043369195276,"ENSG00000004487",0.0020311934521596
"ENSG00000227063","OK",0.000830837074498521,3.14485808586272,0.0190297401462751,"ENSG00000227063",0.00203145877782233
"ENSG00000189045","OK",0.000844871184813709,3.13995422219692,0.0160751372047373,"ENSG00000189045",0.00206541816115596
"ENSG00000085840","OK",0.000845363633744867,3.13978351287158,0.0196697526438829,"ENSG00000085840",0.0020662668779435
