"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SERPINH1","ZIKV_negative_vs_Mock",3.8690936933184,0.0701646617212113,0.256952365472726,0.436689047803121,0.999097438390762
"UTP14C","ZIKV_negative_vs_Mock",3.39964587976715,0.0420591342708277,0.228064192724071,0.613655742720797,0.999097438390762
"PMS1","ZIKV_negative_vs_Mock",2.19079472858935,-0.0645646022901942,0.285275555722147,0.489470337021234,0.999097438390762
"FRYL","ZIKV_negative_vs_Mock",7.18894211347876,0.0442178016182711,0.18793099571336,0.553217975701269,0.999097438390762
"CLDND1","ZIKV_negative_vs_Mock",7.58520309473146,0.0616938290474402,0.193613348032595,0.420591329524924,0.999097438390762
"RCSD1","ZIKV_negative_vs_Mock",8.99105336143567,0.0407530460324103,0.17765092809852,0.570764433114178,0.999097438390762
"GIMAP5","ZIKV_negative_vs_Mock",3.79927003916353,0.0307592620967623,0.219494861988384,0.704981922727052,0.999097438390762
"IMPAD1","ZIKV_negative_vs_Mock",6.87769415225299,-0.0437175668027843,0.187426756515207,0.556983999514409,0.999097438390762
"SFXN1","ZIKV_negative_vs_Mock",1.94936007942487,-0.0137780693542194,0.25701722414848,0.873750805242601,0.999097438390762
"DCTPP1","ZIKV_negative_vs_Mock",2.53808078191333,-0.0371895350445681,0.245496239249304,0.665534742724199,0.999097438390762
"DESI2","ZIKV_negative_vs_Mock",6.45312619733228,-0.0540588819034611,0.209146486351563,0.498922994868825,0.999097438390762
"ATAD2B","ZIKV_negative_vs_Mock",5.05843601910266,0.0244265383363838,0.201435458318285,0.752114142962307,0.999097438390762
"PROSC","ZIKV_negative_vs_Mock",6.98979495676596,-0.0658499138584717,0.208379181918539,0.412471087107194,0.999097438390762
"PGP","ZIKV_negative_vs_Mock",3.7013786822647,-0.0725569424783916,0.264457330959692,0.428242199204271,0.999097438390762
"PTPN11","ZIKV_negative_vs_Mock",9.9650760583536,-0.0543839140635423,0.176805445081091,0.450350481030522,0.999097438390762
"TRMT11","ZIKV_negative_vs_Mock",2.42873957149227,0.07163541102349,0.280058918097569,0.444062975327529,0.999097438390762
"GPR162","ZIKV_negative_vs_Mock",1.59789852241407,-0.0543306483679771,0.295449382752698,0.560378472905859,0.999097438390762
"TNFRSF10D","ZIKV_negative_vs_Mock",10.8311627930421,0.0237140682485164,0.232566083491972,0.776152336752239,0.999097438390762
"DYNC2LI1","ZIKV_negative_vs_Mock",1.8028935973741,-0.064786721858691,0.30598952860756,0.497035017271173,0.999097438390762
"RPA2","ZIKV_negative_vs_Mock",7.71873285801986,0.0536001023932701,0.192772800046741,0.481008401186323,0.999097438390762
"MIR181A1HG","ZIKV_negative_vs_Mock",1.93548056961042,0.0691839111301707,0.287964586700327,0.462827102667682,0.999097438390762
"RP11-493E12.3","ZIKV_negative_vs_Mock",2.29907559145324,-0.0795417339095096,0.299550946252264,0.410929356979499,0.999097438390762
"MIER3","ZIKV_negative_vs_Mock",2.66522655766346,0.0356473197621914,0.2558832930678,0.683535503889454,0.999097438390762
"PLXNA3","ZIKV_negative_vs_Mock",2.52552504748739,-0.0320348331779863,0.247246874825089,0.709649077154606,0.999097438390762
"SENP1","ZIKV_negative_vs_Mock",2.3868400676362,0.0199860867115636,0.248806066378928,0.815795515212977,0.999097438390762
"FER","ZIKV_negative_vs_Mock",2.12228327820814,-0.0496380134714767,0.275674385447118,0.584968412997863,0.999097438390762
"ZBED4","ZIKV_negative_vs_Mock",3.4972468795385,-0.0167691607849915,0.217285883326273,0.834950756956851,0.999097438390762
"CGGBP1","ZIKV_negative_vs_Mock",10.2079149470036,0.0446740280740481,0.169068773125861,0.52173432827998,0.999097438390762
"GTF2IRD1","ZIKV_negative_vs_Mock",1.52258120146376,-0.0179010630504499,0.298455450377846,0.843636279433457,0.999097438390762
"HSDL1","ZIKV_negative_vs_Mock",5.22746908439547,-0.0360975233855407,0.201055188079796,0.64137448363366,0.999097438390762
"DVL3","ZIKV_negative_vs_Mock",6.43439878157752,0.0413719533029147,0.193498381281448,0.585513505577007,0.999097438390762
"UTP11","ZIKV_negative_vs_Mock",4.38949974393852,-0.0406633467816805,0.216451241705587,0.615548459770979,0.999097438390762
"TMEM167A","ZIKV_negative_vs_Mock",5.84929240612624,-0.0605605669165912,0.207200056871253,0.447927311346312,0.999097438390762
"MXD1","ZIKV_negative_vs_Mock",9.9753694071351,0.0324163975154378,0.174115099567235,0.647171075970467,0.999097438390762
"TROVE2","ZIKV_negative_vs_Mock",7.70077543828591,0.0404302778292795,0.175892685918986,0.571342732910847,0.999097438390762
"STRN4","ZIKV_negative_vs_Mock",8.33756436914461,0.0457651028279939,0.18373574032548,0.533844210103152,0.999097438390762
"GID8","ZIKV_negative_vs_Mock",4.41952186860377,-0.0213853214800706,0.208138863664864,0.78589696540136,0.999097438390762
"LONRF3","ZIKV_negative_vs_Mock",8.43060246269377,-0.0631763628110514,0.219412064404912,0.4447408922667,0.999097438390762
"ZFP90","ZIKV_negative_vs_Mock",2.18995700179131,-0.0498718141389654,0.263665537185753,0.577123051303404,0.999097438390762
"NRBF2","ZIKV_negative_vs_Mock",6.55573995858833,0.0506881560352856,0.197495687997735,0.51093571505447,0.999097438390762
"FRMD8","ZIKV_negative_vs_Mock",3.25749361815048,0.0554495070135743,0.245423950483166,0.524582734600072,0.999097438390762
"ZNF800","ZIKV_negative_vs_Mock",6.26985290879883,0.0220499894078254,0.184385080412526,0.763589130247062,0.999097438390762
"POLA1","ZIKV_negative_vs_Mock",1.44982489338138,-0.0477759587731669,0.297556902962714,0.606742947563243,0.999097438390762
"THAP12","ZIKV_negative_vs_Mock",3.78845096484432,-0.0591863941546277,0.245938130522688,0.498777351045237,0.999097438390762
"TBC1D22A","ZIKV_negative_vs_Mock",6.01273472776097,-0.0674489217833177,0.218881875035331,0.415345879725391,0.999097438390762
"EIF1AY","ZIKV_negative_vs_Mock",2.34137347064242,0.0318762944064194,0.427038111186116,0.729003701328771,0.999097438390762
"TXNL4A","ZIKV_negative_vs_Mock",3.58582112192562,-0.0425789013278363,0.231147857009295,0.611806623479963,0.999097438390762
"MYO15B","ZIKV_negative_vs_Mock",2.00891605755914,0.0525985210414492,0.280734660651953,0.566283670881433,0.999097438390762
"EIF3H","ZIKV_negative_vs_Mock",9.62929936400417,-0.0492023150076735,0.172464513493777,0.486759948049658,0.999097438390762
"ADSL","ZIKV_negative_vs_Mock",5.05290735001429,0.0590366178812039,0.21624437584146,0.470228087219157,0.999097438390762
"DAPK3","ZIKV_negative_vs_Mock",3.42772477271571,0.0396939390002003,0.239067523280396,0.641027285272083,0.999097438390762
"HNRNPA1","ZIKV_negative_vs_Mock",3.85976165985225,-0.0663341276387172,0.246014749454286,0.451301394158503,0.999097438390762
"PLEKHA2","ZIKV_negative_vs_Mock",19.9608282165286,0.04201409965251,0.128494077724728,0.478002601556715,0.999097438390762
"SAMD4B","ZIKV_negative_vs_Mock",3.99227345231245,0.043320767833427,0.224138283330958,0.600038383644099,0.999097438390762
"PA2G4","ZIKV_negative_vs_Mock",6.3043327233018,-0.0487177852261857,0.196157361979643,0.525412353836367,0.999097438390762
"HSP90B2P","ZIKV_negative_vs_Mock",4.43141890936311,0.0337500645969387,0.213361021976047,0.673522261471069,0.999097438390762
"NXT2","ZIKV_negative_vs_Mock",3.33147832141929,0.0274942866801397,0.226112529773632,0.738588543988698,0.999097438390762
"PPIG","ZIKV_negative_vs_Mock",4.34759304369765,-0.0512928025634313,0.223572380885874,0.536034684156108,0.999097438390762
"PMVK","ZIKV_negative_vs_Mock",2.0112038654038,-0.0639004178868063,0.286036387488176,0.493992232618693,0.999097438390762
"ZNF37BP","ZIKV_negative_vs_Mock",1.77851170933381,-0.0704372159011908,0.302473887821326,0.462248654872499,0.999097438390762
"EIF3FP3","ZIKV_negative_vs_Mock",5.77611734580201,-0.0667490817400176,0.219988092082684,0.421309545492991,0.999097438390762
"ZNF189","ZIKV_negative_vs_Mock",5.20660030670258,0.0468647538648628,0.209456725942475,0.556626952482991,0.999097438390762
"PEX5","ZIKV_negative_vs_Mock",1.5411502677554,-0.0750831702943824,0.327166969519081,0.444995506004851,0.999097438390762
"TBC1D4","ZIKV_negative_vs_Mock",1.51515710393785,-0.0309483282837441,0.284858003905816,0.73208534077315,0.999097438390762
"MBTPS2","ZIKV_negative_vs_Mock",2.05206983289843,-0.0357023516428734,0.269136889991156,0.688657988822671,0.999097438390762
"VPS26A","ZIKV_negative_vs_Mock",8.89946316518815,-0.0582034590598466,0.186793645099129,0.436175687060409,0.999097438390762
"SAFB","ZIKV_negative_vs_Mock",8.39976115721319,0.0436377551398914,0.18648142406987,0.55644104926091,0.999097438390762
"POC5","ZIKV_negative_vs_Mock",2.28701135102842,0.0525414900878575,0.272462529421592,0.562684877525304,0.999097438390762
"RP11-403P17.5","ZIKV_negative_vs_Mock",2.24562250219682,-0.0722263150552288,0.286343984900445,0.444238210512699,0.999097438390762
"KMT2D","ZIKV_negative_vs_Mock",5.44247215432156,0.0206409488377135,0.190373083827808,0.782428078010687,0.999097438390762
"ATP8A1","ZIKV_negative_vs_Mock",1.92066793049125,-0.0346741703810816,0.260598799759703,0.693601505461716,0.999097438390762
"UBR1","ZIKV_negative_vs_Mock",5.07558929937349,0.0275870472894548,0.197215244902767,0.718172892946379,0.999097438390762
"7-Mar","ZIKV_negative_vs_Mock",10.0967955977938,0.0449987670893744,0.167988287202826,0.517048378932771,0.999097438390762
"PSMG3","ZIKV_negative_vs_Mock",2.93813509024901,-0.0643366985741199,0.256820491038314,0.473062010206301,0.999097438390762
"SS18","ZIKV_negative_vs_Mock",10.02131196173,0.0400115354894952,0.163461448110557,0.557047470007721,0.999097438390762
"C9orf69","ZIKV_negative_vs_Mock",4.40089612109886,-0.0693283737844916,0.239017957311868,0.425701680731149,0.999097438390762
"TRIM35","ZIKV_negative_vs_Mock",2.39315766027118,0.0364834773028515,0.25316260076949,0.675377817634531,0.999097438390762
"RPL13","ZIKV_negative_vs_Mock",9.4521907976516,-0.0544970958436553,0.196296676765927,0.478852916700573,0.999097438390762
"FBXO45","ZIKV_negative_vs_Mock",1.576820523602,-0.0579613104578593,0.312524983322396,0.541901012340771,0.999097438390762
"UGGT2","ZIKV_negative_vs_Mock",2.39071198557094,0.0217631146355628,0.243977397822804,0.798275347928179,0.999097438390762
"HLA-DRB1","ZIKV_negative_vs_Mock",214.073796828232,0.0305520435136087,0.200084308292666,0.692100693295381,0.999097438390762
"SLC41A3","ZIKV_negative_vs_Mock",2.02776938416781,-0.0491465104844794,0.275118505293303,0.588260385077018,0.999097438390762
"RP11-244H3.4","ZIKV_negative_vs_Mock",7.51836629704499,0.0391240100937532,0.176926007618257,0.585110552057711,0.999097438390762
"TIGD2","ZIKV_negative_vs_Mock",1.5173877650567,-0.0384474938821946,0.302447802793583,0.677101918476626,0.999097438390762
"CHIC2","ZIKV_negative_vs_Mock",4.77066199564341,0.0714982282271251,0.243855217555852,0.417043099462314,0.999097438390762
"RP11-20I23.2","ZIKV_negative_vs_Mock",3.23324419729944,0.0546013886967887,0.243098220468703,0.528819112871194,0.999097438390762
"PPP1R10","ZIKV_negative_vs_Mock",10.8734669311055,0.0365937795336606,0.178723797419636,0.611682227780177,0.999097438390762
"GATAD1","ZIKV_negative_vs_Mock",6.14741255567203,0.0505532113690601,0.197988345222028,0.512679423598757,0.999097438390762
"LENG1","ZIKV_negative_vs_Mock",1.5437358041659,0.0711399039345421,0.306286560146035,0.459766836570883,0.999097438390762
"RSBN1","ZIKV_negative_vs_Mock",2.61376094691177,-0.0246437027913952,0.247065301531184,0.773694546510688,0.999097438390762
"TSTD2","ZIKV_negative_vs_Mock",3.27114402076793,0.0409294344630508,0.233943625076659,0.627382826280469,0.999097438390762
"AP1G1","ZIKV_negative_vs_Mock",10.7097058622371,0.0506158908173468,0.163794323407011,0.46008880033732,0.999097438390762
"CSTF1","ZIKV_negative_vs_Mock",2.2776822261937,-0.0569221708211592,0.271463966570493,0.531801239405563,0.999097438390762
"POLR1E","ZIKV_negative_vs_Mock",1.55806674101656,-0.0457080334440247,0.296742206305834,0.621414827274315,0.999097438390762
"NCAPD3","ZIKV_negative_vs_Mock",3.15115642799108,-0.0457367509858057,0.247458577464522,0.598348213449446,0.999097438390762
"TRAF3","ZIKV_negative_vs_Mock",10.0405239772102,-0.0537371789136486,0.177180041388694,0.456215310992048,0.999097438390762
"RPL22L1","ZIKV_negative_vs_Mock",1.58298254962619,-0.0308899689828051,0.288480151381214,0.733446176823392,0.999097438390762
"TRG-AS1","ZIKV_negative_vs_Mock",2.45519181326594,0.0518689420452735,0.268981159745611,0.565626632743021,0.999097438390762
