"Gene","Contrast","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AP5S1","ZIKV_negative_vs_Mock",1.39994694524967,0.030247702503531,0.284556445219113,0.737728376856033,0.999097438390762
"ACCS","ZIKV_negative_vs_Mock",3.10548480486244,0.0188869239761383,0.222430596780542,0.816720269179864,0.999097438390762
"LDAH","ZIKV_negative_vs_Mock",2.45058874324369,-0.0196318273892887,0.242156358438659,0.816952956823444,0.999097438390762
"ACTR6","ZIKV_negative_vs_Mock",2.26723287209585,0.0351459687098083,0.258251035134269,0.688720044933815,0.999097438390762
"LINC01089","ZIKV_negative_vs_Mock",2.33815948245706,-0.0240545933245501,0.249263940854587,0.77969344963757,0.999097438390762
"DDX54","ZIKV_negative_vs_Mock",4.27181914728745,0.00265426375053121,0.202537010671725,0.972629796001699,0.999097438390762
"NOL6","ZIKV_negative_vs_Mock",3.62122491143426,-0.0015125069228623,0.211006958847971,0.984747417218688,0.999097438390762
"NLRX1","ZIKV_negative_vs_Mock",1.58026524356742,-0.0246662748432531,0.277526851168398,0.782544135134704,0.999097438390762
"NOP14","ZIKV_negative_vs_Mock",4.92618759826502,-0.0340281743300394,0.206016749080161,0.664877029968978,0.999097438390762
"RNF219","ZIKV_negative_vs_Mock",3.08111034929778,-0.0403269920129821,0.240255236599329,0.636620307051026,0.999097438390762
"SNRPF","ZIKV_negative_vs_Mock",1.70626269621438,-0.0339181752177422,0.271826822980426,0.704060082961167,0.999097438390762
"USF3","ZIKV_negative_vs_Mock",3.84237918406194,0.0306769991128567,0.217933352001987,0.704666197812063,0.999097438390762
"DHX30","ZIKV_negative_vs_Mock",6.53802277958544,0.00927308425737809,0.176888256900173,0.896609812186377,0.999097438390762
"CTTN","ZIKV_negative_vs_Mock",12.0459503793279,-0.0189625518654116,0.152149983221653,0.769870179152687,0.999097438390762
"ZCCHC7","ZIKV_negative_vs_Mock",5.53581756268845,0.0220520878476707,0.186759726600675,0.765369693844235,0.999097438390762
"GLUD2","ZIKV_negative_vs_Mock",3.7122315087643,-0.0379995056119541,0.224463803151379,0.6449076067254,0.999097438390762
"ST20","ZIKV_negative_vs_Mock",1.72335419638439,-0.00296578744036206,0.314376020895679,0.974068986337654,0.999097438390762
"BIRC6","ZIKV_negative_vs_Mock",14.1944811646825,-0.0247295486872436,0.137243432005557,0.684327080053462,0.999097438390762
"EEF1E1","ZIKV_negative_vs_Mock",1.54934182458299,-0.0622614197969018,0.30921608846117,0.513658166559914,0.999097438390762
"TBCAP1","ZIKV_negative_vs_Mock",2.00565973266623,-0.0670633798250941,0.304825151154347,0.482919725145551,0.999097438390762
"HSPB1P2","ZIKV_negative_vs_Mock",1.70407423672118,-0.00749128644726954,0.278424199864606,0.932842542046918,0.999097438390762
"GLS","ZIKV_negative_vs_Mock",8.78725762801747,-0.0262981241215448,0.16401145591075,0.699318757878336,0.999097438390762
"GATAD2B","ZIKV_negative_vs_Mock",3.88870247655424,-0.00674583829288421,0.21521476285188,0.932771359218652,0.999097438390762
"RAB21","ZIKV_negative_vs_Mock",2.84445547813128,-0.00697568824116957,0.237914969643415,0.933759504438607,0.999097438390762
"BTF3P9","ZIKV_negative_vs_Mock",2.4849039218879,-0.0760295734997816,0.282754631534825,0.42075026166969,0.999097438390762
"RP11-80H18.3","ZIKV_negative_vs_Mock",3.76555725103421,-0.0324389242474388,0.225754715288455,0.694123734913311,0.999097438390762
"LYSMD3","ZIKV_negative_vs_Mock",3.98695551080634,-0.0322163618212883,0.225211312444751,0.695737392588485,0.999097438390762
"SSRP1","ZIKV_negative_vs_Mock",8.55756993617001,-0.0244400402283922,0.16251794657214,0.717981486789504,0.999097438390762
"EDC3","ZIKV_negative_vs_Mock",2.19178289333247,-0.0102289732700772,0.247512897535301,0.904641529744363,0.999097438390762
"PITRM1","ZIKV_negative_vs_Mock",8.15915612426123,-0.0208644776629966,0.17933402003171,0.77211119128146,0.999097438390762
"CTD-2550O8.5","ZIKV_negative_vs_Mock",10.4706717986074,0.024214407981021,0.152437116689394,0.709222014954027,0.999097438390762
"CTBP1","ZIKV_negative_vs_Mock",12.8537931048693,-0.0328493410565223,0.153985919235051,0.61579915355957,0.999097438390762
"RP1-89D4.1","ZIKV_negative_vs_Mock",4.23886562556676,-0.0273329099771815,0.211951905051504,0.731447997339197,0.999097438390762
"RPS12P26","ZIKV_negative_vs_Mock",2.58965342474153,-0.0258704971567456,0.248744080559192,0.763528647801543,0.999097438390762
"NCBP2-AS2","ZIKV_negative_vs_Mock",2.40394035569422,0.00626092767076322,0.246705045292707,0.941433625837311,0.999097438390762
"HIST1H4C","ZIKV_negative_vs_Mock",8.35930689316293,-0.0302656931542283,0.177281766332073,0.672580242272788,0.999097438390762
"CLPP","ZIKV_negative_vs_Mock",5.35661983521414,0.0278313565712215,0.195926176303259,0.714739822452557,0.999097438390762
"MRPL28","ZIKV_negative_vs_Mock",4.64127435601076,0.0154603024773406,0.198762654164972,0.840084552604334,0.999097438390762
"NME6","ZIKV_negative_vs_Mock",3.66103364481206,0.0183980449754054,0.216596025149376,0.818951967284,0.999097438390762
"FKBP2","ZIKV_negative_vs_Mock",12.2967748788961,0.0281071079303099,0.147237676283904,0.658359637221723,0.999097438390762
"SNRPC","ZIKV_negative_vs_Mock",14.9697698871418,-0.0432344421674799,0.148142793835422,0.500424038983926,0.999097438390762
"PTCD1","ZIKV_negative_vs_Mock",1.78113341680209,0.0130586025273374,0.269271734824485,0.882175965273914,0.999097438390762
"IL6R","ZIKV_negative_vs_Mock",7.80074054131502,0.0184494603728301,0.169040632728955,0.790275204212537,0.999097438390762
"TMEM115","ZIKV_negative_vs_Mock",8.03119922323692,-0.032241518116881,0.176590445152092,0.651878063013343,0.999097438390762
"COPS5","ZIKV_negative_vs_Mock",8.1362630731328,0.0173850168879915,0.158728636323085,0.794084098198089,0.999097438390762
"WDR53","ZIKV_negative_vs_Mock",1.45086505600672,-0.0376990790216971,0.303405453994874,0.683047539991322,0.999097438390762
"APOPT1","ZIKV_negative_vs_Mock",2.46919282224144,-0.04354187727927,0.261578039464803,0.623504705161265,0.999097438390762
"MPG","ZIKV_negative_vs_Mock",7.99403062522302,-0.0309931670242997,0.177945952614537,0.665971664593755,0.999097438390762
"MCRIP1","ZIKV_negative_vs_Mock",2.64027874141297,0.0112186880264169,0.234654791435575,0.893075695828433,0.999097438390762
"ARL15","ZIKV_negative_vs_Mock",4.48275078667054,0.00878476244238986,0.210858681919385,0.911592481875317,0.999097438390762
"RPL11P3","ZIKV_negative_vs_Mock",7.29081948038951,-0.0501883521328284,0.198954213209568,0.51690461704654,0.999097438390762
"ZNF100","ZIKV_negative_vs_Mock",2.2291983639964,-0.0195345375906965,0.269447795015961,0.824965128956933,0.999097438390762
"RP11-530C5.4","ZIKV_negative_vs_Mock",1.94052340451447,-0.0186267957479909,0.265839710302222,0.832173798115946,0.999097438390762
"MPV17","ZIKV_negative_vs_Mock",21.8184565956565,-0.0389345015670166,0.125771352770588,0.505111256809208,0.999097438390762
"RNPS1","ZIKV_negative_vs_Mock",6.51297546388129,0.000617883199120872,0.178002417851014,0.993117347461607,0.999097438390762
"PIGQ","ZIKV_negative_vs_Mock",2.82286694165395,-0.0232502410676369,0.232051912418885,0.780158943703131,0.999097438390762
"AP000275.65","ZIKV_negative_vs_Mock",2.64598165059697,-0.00405011488681387,0.234757066916415,0.961271328379682,0.999097438390762
"ALG5","ZIKV_negative_vs_Mock",8.18617127007212,0.0219164446741537,0.172263785378136,0.755012031596474,0.999097438390762
"CHCHD4","ZIKV_negative_vs_Mock",2.06988186195159,-0.0134360502332724,0.257301366464007,0.87689817219494,0.999097438390762
"SLTM","ZIKV_negative_vs_Mock",8.96953967813101,0.01009196491749,0.158059795152256,0.879201916061439,0.999097438390762
"CCDC90B","ZIKV_negative_vs_Mock",2.98165931157893,0.00993953380892554,0.230810430155547,0.904465551391953,0.999097438390762
"POLR2D","ZIKV_negative_vs_Mock",2.73384052802176,-0.0376220547056472,0.251491944985934,0.665224260018185,0.999097438390762
"TUBGCP3","ZIKV_negative_vs_Mock",4.53732261403562,0.0162341242434131,0.197087806406006,0.831400209624133,0.999097438390762
"ZNF740","ZIKV_negative_vs_Mock",2.64656574282211,0.0222747598750772,0.243199980570318,0.79340205292319,0.999097438390762
"PREP","ZIKV_negative_vs_Mock",5.56941694819375,-0.0223978235240765,0.190383325490243,0.76450485717196,0.999097438390762
"RAD23B","ZIKV_negative_vs_Mock",13.2823238137403,-0.0268087186714185,0.143922228599632,0.668714212870442,0.999097438390762
"TTC1","ZIKV_negative_vs_Mock",10.7147621090753,-0.019079099187454,0.150310219272694,0.76673605864134,0.999097438390762
"ALDH16A1","ZIKV_negative_vs_Mock",4.33303065329419,0.0321145631417968,0.230729746638869,0.700088481278746,0.999097438390762
"MKLN1","ZIKV_negative_vs_Mock",5.6924666072057,-0.0257467503392748,0.192690594857336,0.732605136633701,0.999097438390762
"RPL23AP65","ZIKV_negative_vs_Mock",5.5155883701175,-0.045069521564689,0.220145722146515,0.582140084816312,0.999097438390762
"AP000580.1","ZIKV_negative_vs_Mock",2.00323887207063,0.0308625307366009,0.274011685191477,0.729771942106401,0.999097438390762
"TMEM176B","ZIKV_negative_vs_Mock",56.0159823815077,0.00996297712867135,0.238370323834916,0.905624126550222,0.999097438390762
"SRSF10","ZIKV_negative_vs_Mock",7.44159772380032,0.0111078355718245,0.17244123641226,0.874325305492979,0.999097438390762
"VPS41","ZIKV_negative_vs_Mock",11.9834023032479,-0.0309803655696645,0.147301115117316,0.626327234627436,0.999097438390762
"SUPT20H","ZIKV_negative_vs_Mock",7.32131437721555,0.0110886286659333,0.172851769103061,0.874728455493562,0.999097438390762
"DDX56","ZIKV_negative_vs_Mock",8.37678723550552,0.023906921067646,0.168783040751576,0.730253561859273,0.999097438390762
"AC009120.3","ZIKV_negative_vs_Mock",2.48801850029133,-0.03207371010423,0.246878047628423,0.709142318999364,0.999097438390762
"CCDC174","ZIKV_negative_vs_Mock",3.67984889417694,0.0129862182302227,0.225560289160482,0.874092204019389,0.999097438390762
