miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT2091618,hsa-miR-28-3p,hsa,RNASEL,6041.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2612325,hsa-miR-361-3p,hsa,RNASEL,6041.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2458306,hsa-miR-491-5p,hsa,RNASEL,6041.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2432792,hsa-miR-4470,hsa,RND3,390.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2316401,hsa-miR-576-3p,hsa,RNF11,26994.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2092018,hsa-miR-3135b,hsa,RNF125,54941.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2612570,hsa-miR-654-5p,hsa,RNF125,54941.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2689803,hsa-miR-2355-5p,hsa,RNF141,50862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1310247,hsa-miR-3135b,hsa,RNF141,50862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2689806,hsa-miR-361-3p,hsa,RNF141,50862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2612616,hsa-miR-576-3p,hsa,RNF141,50862.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2612626,hsa-miR-140-3p,hsa,RNF14,9604.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2612641,hsa-miR-3125,hsa,RNF14,9604.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1310433,hsa-miR-654-5p,hsa,RNF144A,9781.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1310444,hsa-miR-1262,hsa,RNF144B,255488.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311047,hsa-miR-3120-5p,hsa,RNF168,165918.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311049,hsa-miR-3125,hsa,RNF168,165918.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1311219,hsa-miR-658,hsa,RNF168,165918.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2612860,hsa-miR-3120-5p,hsa,RNF169,254225.0,hsa,CLIP-seq,Functional MTI (Weak),
