"Gene","GSM8564259","GSM8564260","GSM8564261","GSM8564262","GSM8564263","GSM8564264","GSM8564265","GSM8564266","GSM8564267","GSM8564268","GSM8564269","GSM8564270","GSM8564271","GSM8564272","GSM8564273","GSM8564274","GSM8564275","GSM8564276","GSM8564277","GSM8564278","GSM8564279","GSM8564280","GSM8564281","GSM8564282","GSM8564283","GSM8564284"
"1",5.80560866113377,6.19673786552521,6.33847401032867,5.66491465105869,6.36711027693886,6.17768669446698,5.95111715789124,6.03653965869848,6.51889935436236,6.489219553133,5.70872329782685,5.46851941244571,5.52437626715242,5.29304568371582,5.47490153790674,4.8257395556825,6.01761632691044,5.18541268068388,5.66554375232163,5.64506469354149,5.74306592125834,5.64773007492472,6.1003914513451,5.32422206509416,6.30061577945875,5.77658682019864
"100",8.59737314971414,7.77801931886016,8.60413613107414,8.70067602822117,8.4623875748753,8.51175672825153,8.36369122490725,8.77563876086862,7.96110304804743,8.39526510263375,9.19727656470567,8.88791542476981,8.60951807435742,9.47602143774632,9.93729675950201,10.3752338971516,10.0998275686532,10.3257629941793,8.947210225809,9.8396740708707,8.79000508022778,10.0495206057953,8.0227597177361,10.2554298309469,9.24493161837269,9.52826049724093
"1000",5.10312520465945,5.33978946169089,4.93291285051828,3.77400061285619,4.31975670163438,4.43420141074999,4.60724191618449,3.77400061285619,4.62344940194521,4.92759003964511,4.99346365567694,4.3285485554907,4.14492339206778,4.50750638157523,4.29117021412639,4.27827610588628,4.67390122412726,4.9208815199646,3.77400061285619,4.36117586792821,3.77400061285619,4.37514537179819,4.48424512020379,4.20691065803197,3.77400061285619,3.77400061285619
"10000",8.81020053360102,7.84665856439673,8.10499459870534,8.20700288265849,8.1306958001246,8.5079054315489,9.04927036976223,9.01078523127032,8.97272967301083,8.8979540110059,8.87738255146919,8.76425499031155,8.31170210909261,7.92274831552389,7.97376499581258,7.83486025718235,7.4181288028304,8.16417258591962,8.57179533431664,8.08404835578856,8.6723065489194,7.86911674774915,6.82874495885805,8.25144261475887,7.74774016211572,7.30661533815751
"10001",8.23249857353873,7.36410144262422,7.29039056527799,7.3271493605388,7.2938916972909,7.529314305028,8.10092594336134,7.99564815959089,8.03296939933456,7.95390712854453,8.49003085494661,8.27209898806858,8.09803468293031,8.38333112822024,8.72504140605656,8.84031777227852,9.06234383576297,9.16655855678828,7.94922027427396,8.86707989009251,8.44159668903469,8.20659005517449,7.24122840966893,8.66327094434439,8.14639684276251,7.63883498493693
"10003",5.14125419374533,5.1870736382502,5.60460110100776,5.3386699169762,5.41948859044947,5.78281457844935,5.46735142958307,5.7759487928099,5.67319063982527,5.47095610640358,4.64873130889463,5.02318295048573,5.2432489775953,5.89796914068671,5.05691129002691,5.5551511362867,4.80778474896837,4.9208815199646,5.34135604606778,4.69320044309153,5.28783991499773,4.71463523221216,5.23295105856332,4.72816692727622,5.91030916621062,5.50692225525015
"100037417",5.82679030213207,6.04354422274744,6.09577204009472,5.74795674317193,5.8530282264736,5.88701768078811,6.06138695709274,6.67607007927339,6.1620029534347,6.31138696253922,6.04450378673505,5.69226055815124,6.07287839979214,6.07061005418287,6.07082679923931,5.58312769986177,7.00588869250061,6.06790956995749,6.05149462469775,5.87359419789528,6.16524758474053,6.08709518714587,6.42762055559775,6.03244707105582,6.75737417695804,6.84095928446209
"10004",7.06797598410758,7.02357993809273,7.07606718507698,7.16635917416479,7.73270679190495,7.68802770958328,7.06467179127303,7.3771520571885,7.0482742717901,6.98193378503368,6.31192652530917,6.37650778610038,7.16341178763354,6.29367373536983,6.41930752180705,5.8992265817528,6.70548112066572,6.04499942767275,6.99165840554383,6.16701490139362,6.85358160064065,7.15909730860483,6.76181971611881,6.56813400742969,7.15688165411331,6.88747485252754
"100049587",10.726877452773,10.9353757206079,11.1601022287254,10.4873147001397,3.77400061285619,8.87371274079678,4.11810147521458,9.29514984532631,4.15826004680076,4.87115032571228,10.79609326349,10.5682087579731,12.0065069879812,10.0662180047253,9.57502747143723,11.3370620371759,4.80778474896837,3.77400061285619,11.602461439431,8.6855942571232,3.77400061285619,3.77400061285619,3.77400061285619,8.59073173414341,3.77400061285619,12.8017642231865
"10005",7.88729273604244,8.28033465172566,8.27546215462917,8.42282376185931,8.4212277441212,8.42045839563787,7.71037997522149,7.84943266357565,7.91501816346068,7.91018642519247,7.98318398171636,7.83996809948979,8.45338958285583,7.64802505552441,8.24760702406711,7.84552822361514,8.59946108253776,8.32795769235338,8.13987076043984,8.20156635222209,8.20354614827122,8.52289601843468,8.51903081743249,7.82236443571118,8.50878247106668,8.05650217712335
