entrez,lfc,padj,SYM,dir
1,-0.5482835808245259,0.002320640307476321,A1BG,ns
100,1.0591605662586936,0.00046556627586074445,ADA,up
1000,-0.29222241388013703,0.2496132030162544,CDH2,ns
10000,-0.516393167808058,0.04535518337570788,AKT3,ns
10001,0.6749187996957833,0.004998150801996485,MED6,up
10003,-0.32555726646385796,0.0435922267790992,NAALAD2,ns
100037417,0.11124427341105925,0.5272154477952087,DDTL,ns
10004,-0.6126625605288423,0.001388595127580872,NAALADL1,down
100049587,0.26671148447446846,0.8933803303204545,SIGLEC14,ns
10005,0.07321832803223849,0.644247521782591,ACOT8,ns
10006,0.2501027532554634,0.019535049681181475,ABI1,ns
10007,0.2553747085435152,0.13071822529830948,GNPDA1,ns
10008,-0.33340174838842707,0.48652995495499374,KCNE3,ns
10009,-0.27340657211361297,0.1990074085326233,ZBTB33,ns
10010,0.3088841750576421,0.12206356252889193,TANK,ns
100101267,-0.4109078653602314,0.07105280894154116,POM121C,ns
100101467,0.019208496378698037,0.9227477887980828,ZSCAN30,ns
10011,0.6026556471668165,0.0017020824305549768,SRA1,up
100113407,-0.4953797865715295,0.19229473634107722,TMEM170B,ns
100125288,-0.19865746090805647,0.29605140753013004,ZGLP1,ns
100128071,-0.6296613979885022,0.008734630971694291,FAM229A,down
100128108,-0.6780663240511959,0.0001248869319837888,UBE2Q2P13,down
100128327,-0.5876533106344217,0.004611049847126068,TRAPPC3L,down
100128553,-0.06550249867913127,0.8618588189137906,CTAGE4,ns
100128569,-0.49914847129436346,0.038601472679165444,TEKTIP1,ns
100128731,-0.21665447701977492,0.4655902448603696,OST4,ns
100128927,0.07032349877527011,0.6523714738094059,ZBTB42,ns
100129083,-0.47180273648396387,0.16497765499419192,SIGLEC10-AS1,ns
100129250,-0.26680435517832546,0.2279014303020753,TZMP1,ns
100129361,-0.1635772399835833,0.14214427408673125,SMIM10L1,ns
100129484,-0.29446126556041907,0.11691321190954475,LINC02983,ns
100129528,0.000665762595371433,0.9983974661802798,MUC8,ns
100129697,0.028564012494054936,0.9147200524568629,LOC100129697,ns
100129792,0.1969013819100427,0.3957246310521749,CCDC152,ns
100129842,-0.24134605557361333,0.4090801831647299,ZNF737,ns
100129940,0.03834744208461949,0.859737014088857,HMGA2-AS1,ns
10013,0.3584373769721232,0.02437298563618177,HDAC6,ns
100130311,0.03444483240213003,0.9399862627246781,C17ORF107,ns
100130357,-0.07615264850405623,0.755872448442332,LOC100130357,ns
100130370,-0.3440254849061235,0.3926760686131974,LINC03048,ns
100130451,-0.18548973317037554,0.3203705538455138,SPAG16-DT,ns
100130520,-0.18514540471874863,0.7030000867727785,CD300H,ns
100130705,0.031791416109517634,0.8485663348458993,SPMIP1,ns
100130733,-0.18513147891649417,0.5768342601167894,LRRC70,ns
100130890,-0.07563316871898884,0.728099630230488,TSTD3P,ns
100130958,-0.10962148929895665,0.5272154477952087,SYCE1L,ns
100130967,0.46193121218743904,0.021644997440157323,LINC02901,ns
100131017,-0.6285503855227841,0.028491907009559062,ZNF316,down
