0_names,0_logfoldchanges,0_pvals_adj,1_names,1_logfoldchanges,1_pvals_adj,2_names,2_logfoldchanges,2_pvals_adj,3_names,3_logfoldchanges,3_pvals_adj,4_names,4_logfoldchanges,4_pvals_adj,5_names,5_logfoldchanges,5_pvals_adj,6_names,6_logfoldchanges,6_pvals_adj,7_names,7_logfoldchanges,7_pvals_adj,8_names,8_logfoldchanges,8_pvals_adj,9_names,9_logfoldchanges,9_pvals_adj,10_names,10_logfoldchanges,10_pvals_adj,11_names,11_logfoldchanges,11_pvals_adj,12_names,12_logfoldchanges,12_pvals_adj
KIF23,2.279895,1.2801616251720646e-44,CDH17,2.428808,8.639444916519747e-67,POLR2L,0.64175254,1.2751651512483734e-21,ASF1B,1.917768,9.565952577853814e-66,ANXA2,0.83821887,9.215778912162947e-12,SELENOP,0.8948874,3.0349372360992425e-38,MT1E,1.9276836,9.712044932438483e-12,BIRC5,1.7335323,4.3866007515596185e-66,RPL24,0.69779706,3.626718389821422e-24,DNAJC3,1.535967,1.8119248653741252e-13,ATP5MG,1.5643439,4.384681494536998e-12,SEC11C,1.7760774,7.523583937646135e-70,PCK2,2.4364479,2.821398058284106e-48
CENPX,1.0888854,3.4465367729404222e-43,COX5A,0.6676617,2.7497951957622145e-65,RPL27P4,0.7883652,2.0926248643659743e-21,MELK,1.9462597,4.861603739827287e-65,ACTB,1.0489912,1.048141117169427e-11,PSMA2,0.7134802,1.303200459795854e-37,TPX2,1.5487037,1.0639917356120947e-11,UBE2S,1.6990072,2.4207987598749323e-64,HSPE1,0.7562829,3.2079768781829897e-23,H1-1,2.4594972,1.8119248653741252e-13,RPL21,1.5799938,4.419670607137831e-12,EIF1,1.1087381,1.1567302616199632e-69,TMED2,1.1855704,1.0634372637643706e-47
ESCO2,1.9045779,2.165990066849371e-42,CKB,1.2956647,3.5318402278530887e-65,NQO1,0.6504278,3.552069381236328e-21,MMS22L,1.5975337,6.850815955771463e-64,CXCL8,4.0341573,1.9119681936300564e-11,SRSF1,1.0216345,2.6190994472536986e-37,PLK1,1.7823982,1.884360514806714e-11,DLGAP5,2.7929132,8.709988576449561e-63,NDUFC2,0.65073013,8.902059092958015e-23,MANF,1.6083394,3.5762315611628007e-13,RPL27,1.4981668,4.8331444041817125e-12,GAS5,1.5720221,6.406092045949113e-69,RAB5A,2.1350927,1.6274761172318655e-47
PCLAF,1.3855963,5.0273556806303166e-42,CA4,4.987517,1.1342393781211328e-63,COX6B1,0.46117768,6.015763345655823e-21,UHRF1,2.2132287,1.2426600249833564e-63,S100A6,2.113746,2.178729798507164e-11,YWHAQ,0.75250983,5.348419219482725e-37,CDKN3,1.3589025,6.54089385013673e-11,CDKN3,1.8313338,2.0240096328517174e-62,SUB1,0.59947747,1.6824379098823437e-22,MALAT1,1.219546,3.914102361836095e-13,SNRPD2,1.948422,4.929957835632689e-12,PLPP5,1.4363204,1.224371469265003e-68,IRF1,2.947864,3.343319908719919e-45
TK1,1.5125105,1.097553058416416e-41,AGR2,2.4919567,1.221739702859697e-62,ELOB,0.5527982,6.927741875736579e-21,MCM7,1.2848246,1.4237299223147073e-63,RHOC,1.1769785,1.0423440844319719e-10,XRCC6,0.5897767,1.2099588105527605e-36,SNRPD1,0.624332,7.385310324853806e-11,PRC1,2.1216006,2.832580941817929e-62,RPLP0,0.47870904,2.523332006838321e-22,MYDGF,0.91461635,5.137213706177742e-13,NOP10,1.7815845,5.5221308300247204e-12,SPCS2,1.2572305,3.414412128766498e-66,PPP1R15A,2.2741928,3.3540620108550193e-45
UBE2T,1.1855619,1.1579909455257182e-41,TFF1,2.7034137,1.2041784113493412e-61,RPL31,0.48518404,9.979468167365365e-21,SRSF2,1.0964866,1.7670800010811292e-63,KRT8,1.0960721,1.1238203161038997e-10,IDH1,0.8310397,1.2099588105527605e-36,KNSTRN,1.5051708,2.392950499617168e-10,TACC3,2.3563545,1.2054976625071396e-59,RPS15A,0.61456776,6.443988125558531e-22,SPC25,1.9719706,7.864221977948305e-13,SLIRP,2.0095797,5.798737899667167e-12,HSP90B1,1.0159258,3.1614969927672875e-65,TMEM39A,1.8598154,6.705793175283784e-45
SGO1,1.3576714,1.7240535819136742e-41,GSTA2,3.4946632,7.392238527840839e-61,NICOL1,0.71020573,1.442524413896643e-20,MCM3,1.5220118,4.2881324880641314e-63,CAV1,2.7735994,1.1238203161038997e-10,SDHD,0.872301,1.7333870464650716e-35,AURKB,1.5375086,2.392950499617168e-10,CCNA2,2.4244676,1.947217185408121e-59,BCCIP,0.81501764,9.078829355906674e-22,DNAJB11,1.0429368,7.864221977948305e-13,UQCRQ,1.9579945,6.246390760286568e-12,SEC61B,0.9555219,5.871649838149697e-65,RBM14-RBM4,2.2659113,1.9186476434350847e-44
BUB3,0.99448144,2.4347477369899883e-41,RBP2,3.3720536,8.708320707993884e-59,RPS27,0.5161872,2.7095322308301016e-19,RFC3,1.6335187,4.570033703752897e-63,TAGLN2,1.7400835,1.7399155266213955e-10,TXNDC5,1.2563231,8.534581022679257e-35,KIF4A,1.6016518,2.8475033570967787e-10,NCAPD2,1.8572274,8.993515898116297e-57,PTTG1,1.5122399,1.5232066006745603e-21,HMGB2,1.7327167,1.5883661495230102e-12,ATP5ME,2.313239,6.354731650848729e-12,MYDGF,0.977079,7.965667800997343e-65,GADD45A,2.108965,5.609668391804067e-44
AURKB,1.7105297,4.410746669802161e-41,CALML4,2.9489858,3.635638232411496e-57,UBE2I,0.6385198,5.137800028664129e-19,CDC45,1.9249748,2.7273553087025316e-61,KRT18,0.9563427,2.0350806602405044e-10,ATP1B3,0.79527014,1.762718100681926e-34,UBE2I,0.8802273,2.977847788873053e-10,AURKB,2.0837119,1.755486164129994e-56,RPL41P1,0.95602125,1.5232066006745603e-21,SELENOS,1.1875641,1.6332728157992773e-12,RPLP1,1.3974735,6.602091784978461e-12,ZFAS1,1.7010646,2.484758198457321e-64,SLC3A2,1.5212145,6.623310023911857e-44
SUPT16H,0.9401873,3.612531093487902e-39,REEP6,1.7052183,1.09893624052101e-55,SNRPD2,0.43556988,1.1653136411247017e-18,CLSPN,1.6292702,3.2574326286398585e-60,S100A3,4.5453973,2.1296698062543305e-10,ITM2B,0.5993303,1.9191201845498513e-34,HMGN2P5,1.0176492,1.004133565344794e-09,CENPF,1.9993353,1.3342189031633592e-55,TMA7,0.59701157,3.500170730520226e-21,ATF4,1.1579581,2.489485953982127e-12,COX6A1,1.3957659,7.70529859827058e-12,SSR3,1.581992,3.005268774876357e-64,COQ10B,1.9809984,8.830117010466674e-44
