Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),3/24,0.0006100390385547019,0.0083117819003078,0,0,20.687174139728885,153.1262065691772,DDIT3;SESN2;ATF3
GO_Biological_Process_2021,amino acid import across plasma membrane (GO:0089718),3/24,0.0006100390385547019,0.0083117819003078,0,0,20.687174139728885,153.1262065691772,SLC1A4;SLC3A2;SLC7A1
GO_Biological_Process_2021,cellular response to hexose stimulus (GO:0071331),3/25,0.0006896878825976745,0.009252428209618,0,0,19.745852687458527,143.7354208701637,ERN1;XBP1;PCK2
GO_Biological_Process_2021,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043),2/6,0.0007164419611361558,0.009324438658369,0,0,71.94202898550725,520.9475783617216,PMAIP1;ATF3
GO_Biological_Process_2021,positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902237),2/6,0.0007164419611361558,0.009324438658369,0,0,71.94202898550725,520.9475783617216,DDIT3;PMAIP1
Reactome_2022,Cargo Concentration In ER R-HSA-5694530,3/32,0.0014350571521973,0.0095799761241279,0,0,14.97432670526051,98.03018752556244,SAR1B;PREB;SEC24D
GO_Biological_Process_2021,intrinsic apoptotic signaling pathway (GO:0097193),5/102,0.0007562886540311475,0.0096982897987523,0,0,7.546009927453227,54.233833150260914,ERN1;DDIT3;PMAIP1;TRIB3;CHAC1
GO_Biological_Process_2021,cellular response to starvation (GO:0009267),6/158,0.0008685015861616773,0.0108190483304711,0,0,5.805577376276513,40.92201212822409,XBP1;SESN2;MARS1;PMAIP1;ASNS;CPEB4
GO_Biological_Process_2021,L-alpha-amino acid transmembrane transport (GO:1902475),3/27,0.000868176373465179,0.0108190483304711,0,0,18.098540145985403,127.57870292382276,SLC1A4;SLC3A2;SLC7A1
Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,2/9,0.0016959116389499,0.0110234256531747,0,0,41.10351966873706,262.2213358820684,DDIT3;HSP90B1
GO_Biological_Process_2021,L-amino acid transport (GO:0015807),3/28,0.0009673991104246826,0.0117162781151433,0,0,17.373722627737227,120.5892612602144,SLC1A4;SLC3A2;SLC7A1
GO_Biological_Process_2021,cellular response to acid chemical (GO:0071229),3/28,0.0009673991104246826,0.0117162781151433,0,0,17.373722627737227,120.5892612602144,XBP1;SESN2;CPEB4
MSigDB_Hallmark_2020,Hypoxia,6/200,0.0028735528683859,0.0118534055820921,0,0,4.539006000923219,26.56319852294298,ISG20;DDIT3;STC2;DDIT4;GLRX;ATF3
GO_Biological_Process_2021,protein secretion (GO:0009306),4/64,0.0010553900369557,0.0126068508524029,0,0,9.705882352941176,66.52261204245988,SEL1L;PREB;TVP23B;PDIA4
GO_Biological_Process_2021,ER overload response (GO:0006983),2/8,0.0013251167655955,0.0154066909279907,0,0,47.95652173913044,317.77212749518304,SELENOS;DDIT3
GO_Biological_Process_2021,short-chain fatty acid catabolic process (GO:0019626),2/8,0.0013251167655955,0.0154066909279907,0,0,47.95652173913044,317.77212749518304,MCEE;PCK2
GO_Biological_Process_2021,cellular response to glucose stimulus (GO:0071333),3/32,0.0014350571521973,0.0162515563209877,0,0,14.97432670526051,98.03018752556244,ERN1;XBP1;PCK2
GO_Biological_Process_2021,response to amino acid (GO:0043200),3/32,0.0014350571521973,0.0162515563209877,0,0,14.97432670526051,98.03018752556244,XBP1;SESN2;CPEB4
Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,2/11,0.0025672941356666,0.0162595295258888,0,0,31.966183574879228,190.67517791835436,DDIT3;HSP90B1
GO_Biological_Process_2021,tetrahydrofolate interconversion (GO:0035999),2/9,0.0016959116389499,0.0189162722958582,0,0,41.10351966873706,262.2213358820684,MTHFD2;SHMT2
GO_Biological_Process_2021,cellular response to amino acid stimulus (GO:0071230),3/34,0.0017137448524917,0.0189162722958582,0,0,14.006828349423122,89.21053089544887,XBP1;SESN2;CPEB4
GO_Biological_Process_2021,regulation of autophagosome assembly (GO:2000785),3/35,0.001864871074714,0.0201725172730685,0,0,13.568430656934307,85.27166212013188,SCFD1;TMEM39A;RAB5A
GO_Biological_Process_2021,protein targeting (GO:0006605),5/125,0.0018738232788056,0.0201725172730685,0,0,6.092592592592593,38.26010699996711,SEC61A1;SPCS2;EDEM1;ZFAND2A;SRP54
Reactome_2022,"Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511",2/13,0.0036076458861899,0.0222772133472228,0,0,26.151515151515152,147.09442278621572,SPCS2;SEC11C
GO_Biological_Process_2021,cellular protein localization (GO:0034613),8/329,0.0022501915001144,0.0236405661216841,0,0,3.689039932030586,22.491117150033563,ARMCX3;COPA;SCFD1;SAR1B;USO1;ARL1;RAB5A;TMED5
GO_Biological_Process_2021,protein glycosylation (GO:0006486),5/130,0.0022243896026001,0.0236405661216841,0,0,5.847407407407408,35.71755924827775,RPN2;RPN1;GFPT1;PGM3;DDOST
Reactome_2022,Metabolism Of Amino Acids And Derivatives R-HSA-71291,8/364,0.0041587733453505,0.0246392859083452,0,0,3.320394960844399,18.20418197546286,EPRS1;PSAT1;MARS1;ASNS;PHGDH;SLC3A2;IARS1;PSPH
Reactome_2022,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,2/14,0.0041896761463583,0.0246392859083452,0,0,23.971014492753625,131.24446468814745,GORASP2;USO1
GO_Biological_Process_2021,PERK-mediated unfolded protein response (GO:0036499),2/11,0.0025672941356666,0.025731959612659,0,0,31.966183574879228,190.67517791835436,DDIT3;HERPUD1
GO_Biological_Process_2021,intracellular protein transport (GO:0006886),8/336,0.0025616014289763,0.025731959612659,0,0,3.6090169992609016,21.53544710895206,COPA;SCFD1;SAR1B;USO1;ARL1;PREB;RAB5A;TMED5
GO_Biological_Process_2021,positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440),2/11,0.0025672941356666,0.025731959612659,0,0,31.966183574879228,190.67517791835436,DDIT3;ATF3
GO_Biological_Process_2021,tetrahydrofolate metabolic process (GO:0046653),2/11,0.0025672941356666,0.025731959612659,0,0,31.966183574879228,190.67517791835436,MTHFD2;SHMT2
GO_Biological_Process_2021,cellular protein metabolic process (GO:0044267),9/417,0.0027129718698353,0.0268830848920052,0,0,3.275482712168837,19.3571549501282,DNAJC3;SPCS2;RPN2;STC2;HM13;RPN1;PDIA6;HSP90B1;SEC11C
GO_Biological_Process_2021,response to organonitrogen compound (GO:0010243),3/40,0.0027442876968701,0.0268878524906832,0,0,11.731899782994674,69.19748700315135,ERLEC1;SEL1L;SYVN1
GO_Biological_Process_2021,protein-containing complex assembly (GO:0065003),7/267,0.002783102345579,0.0269651693927215,0,0,3.967611336032389,23.346175066424102,SCFD1;EPRS1;SAR1B;USO1;PREB;SEC24D;BET1
GO_Biological_Process_2021,positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103),2/12,0.0030666522479577,0.0293859424199905,0,0,28.768115942028984,166.48594259330514,ERN1;XBP1
GO_Biological_Process_2021,proteasomal protein catabolic process (GO:0010498),6/205,0.0032455616596483,0.0307622800784063,0,0,4.423835595889897,25.35064327264636,ERLEC1;DDIT3;ZFAND2A;SEL1L;SYVN1;PMAIP1
GO_Biological_Process_2021,nitrogen compound transport (GO:0071705),5/143,0.0033572554271608,0.0313170138428541,0,0,5.293075684380033,30.15270154825018,SLC1A4;SLC3A2;SLC7A11;SLC7A1;HSP90B1
GO_Biological_Process_2021,cellular glucose homeostasis (GO:0001678),3/43,0.0033759166298489,0.0313170138428541,0,0,10.85036496350365,61.75038615247198,ERN1;XBP1;PCK2
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,4/102,0.0057557432848449,0.0330620602641093,0,0,5.930972388955582,30.58932869837678,ERLEC1;SEL1L;DERL2;EIF2S2
GO_Biological_Process_2021,negative regulation of autophagosome assembly (GO:1902902),2/13,0.0036076458861899,0.0331143917132381,0,0,26.151515151515152,147.09442278621572,SCFD1;TMEM39A
Reactome_2022,Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,4/104,0.0061615857299632,0.0338998763926544,0,0,5.811764705882353,29.578517985522016,SLC1A4;SLC3A2;SLC7A11;SLC7A1
Reactome_2022,Metabolism Of Folate And Pterines R-HSA-196757,2/17,0.0061760908407669,0.0338998763926544,0,0,19.17391304347826,97.53903318014083,SHMT2;MTHFD2
GO_Biological_Process_2021,amino acid transmembrane transport (GO:0003333),3/45,0.0038424343183172,0.0349021117247149,0,0,10.332638164754954,57.466508536712766,SLC3A2;SLC7A11;SLC7A1
Reactome_2022,Post-translational Protein Phosphorylation R-HSA-8957275,4/106,0.0065860329199606,0.035364133287615,0,0,5.697231833910035,28.616079394442696,DNAJC3;STC2;PDIA6;HSP90B1
GO_Biological_Process_2021,regulation of IRE1-mediated unfolded protein response (GO:1903894),2/14,0.0041896761463583,0.0372795673431065,0,0,23.971014492753625,131.24446468814745,FICD;DNAJB9
GO_Biological_Process_2021,COPII-coated vesicle cargo loading (GO:0090110),2/14,0.0041896761463583,0.0372795673431065,0,0,23.971014492753625,131.24446468814745,SEC24D;SEC23B
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),4/94,0.0043110438998048,0.0379720230366653,0,0,6.46078431372549,35.189147616087496,SRP19;SEC61A1;TRAM1;SRP54
KEGG_2021_Human,Various types of N-glycan biosynthesis,3/39,0.0025514275717719,0.0382714135765797,0,0,12.058394160583942,72.00190443602459,RPN2;RPN1;DDOST
Reactome_2022,"Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085",2/19,0.0076948486099146,0.040438885247849,0,0,16.916453537936913,82.33583346721679,SPCS2;SEC11C
Reactome_2022,Disorders Of Transmembrane Transporters R-HSA-5619115,5/176,0.0080078087425119,0.0412068491541759,0,0,4.264457439896036,20.585977963103623,ERLEC1;SEL1L;SLC33A1;DERL2;SLC3A2
GO_Biological_Process_2021,integrated stress response signaling (GO:0140467),2/15,0.004812150361469,0.0419619511520105,0,0,22.12597547380156,118.0777292804548,DDIT3;HERPUD1
Reactome_2022,Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,3/60,0.008587501166456,0.0432880160839725,0,0,7.607760276603918,36.1935199989907,ERLEC1;SEL1L;DERL2
Reactome_2022,"Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771",2/21,0.0093639011818873,0.0462576718385233,0,0,15.134248665141111,70.69046042402755,SPCS2;SEC11C
GO_Biological_Process_2021,organic acid transport (GO:0015849),4/100,0.0053681424911885,0.04634673517145,0,0,6.055147058823529,31.651908760738745,SLC1A4;SLC3A2;SLC7A11;SLC7A1
GO_Biological_Process_2021,regulation of intrinsic apoptotic signaling pathway (GO:2001242),3/52,0.0057753528461118,0.0489784192136669,0,0,8.853418739758677,45.631900658875296,DDIT3;PMAIP1;HERPUD1
GO_Biological_Process_2021,regulation of autophagy (GO:0010506),6/231,0.0057852949300546,0.0489784192136669,0,0,3.907462686567164,20.132951171791177,ERN1;HAX1;DDIT3;CISD2;TRIB3;MTDH
GO_Biological_Process_2021,cellular response to organonitrogen compound (GO:0071417),4/103,0.0059563614241251,0.0499417996330494,0,0,5.870766488413548,30.077671435613684,XBP1;SESN2;HSP90B1;CPEB4
