Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,ubiquitin-dependent ERAD pathway (GO:0030433),10/73,8.711385095010535e-11,1.899081950712297e-08,0,0,24.17216117216117,559.9192331668055,SELENOS;EDEM1;SEL1L;EDEM2;SYVN1;DERL2;DNAJB9;HERPUD1;HSP90B1;UBE2J1
GO_Biological_Process_2021,tRNA aminoacylation (GO:0043039),8/38,1.9298174442408484e-10,3.223675558549069e-08,0,0,40.06060606060606,896.0926829516729,GARS1;AARS1;EPRS1;MARS1;IARS1;YARS1;CARS1;TARS1
GO_Biological_Process_2021,protein exit from endoplasmic reticulum (GO:0032527),7/24,2.2181253843227535e-10,3.223675558549069e-08,0,0,61.43343653250774,1365.6154416369,SELENOS;SEL1L;SYVN1;DERL2;PREB;HERPUD1;HSP90B1
GO_Biological_Process_2021,tRNA aminoacylation for protein translation (GO:0006418),8/43,5.556607797041331e-10,5.3837355544667125e-08,0,0,34.32900432900433,731.580712174819,GARS1;AARS1;EPRS1;MARS1;IARS1;YARS1;CARS1;TARS1
GO_Biological_Process_2021,ERAD pathway (GO:0036503),10/87,5.162824039876003e-10,5.3837355544667125e-08,0,0,19.76323676323676,422.6243121164348,ERLEC1;SELENOS;EDEM1;SEL1L;SYVN1;DERL2;DNAJB9;HERPUD1;HSP90B1;UBE2J1
GO_Biological_Process_2021,endoplasmic reticulum to cytosol transport (GO:1903513),6/15,5.018318796123505e-10,5.3837355544667125e-08,0,0,98.76119402985074,2114.749345437392,SELENOS;SEL1L;SYVN1;DERL2;HERPUD1;HSP90B1
Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,10/108,4.412448738102459e-09,9.082290319260896e-08,0,0,15.51177394034537,298.42847540657334,SRP19;SEC61A1;TRAM1;SPCS2;RPN2;RPN1;SSR3;SRP54;DDOST;SEC11C
Reactome_2022,Post-translational Protein Modification R-HSA-597592,30/1383,2.1748381853022936e-08,4.132192552074358e-07,0,0,3.730497883491232,65.81988428957392,COPA;RPN2;SAR1B;COPB1;RPN1;SEL1L;USO1;DERL2;UAP1;HSP90B1;GMPPB;SCFD1;STC2;GMPPA;PGM3;NANS;EDEM1;EDEM2;GFPT1;SYVN1;PDIA6;DDOST;DNAJC3;SELENOS;GOLGB1;PREB;SEC24D;RAB5A;COPE;BET1
GO_Biological_Process_2021,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),6/22,7.186091034928782e-09,5.696610347688998e-07,0,0,55.53358208955224,1041.3167773779048,XBP1;SELENOS;DDIT3;SYVN1;PMAIP1;HERPUD1
GO_Biological_Process_2021,endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),12/185,7.138717029203011e-09,5.696610347688998e-07,0,0,10.66853323699422,200.117495449016,COPA;SCFD1;SAR1B;COPB1;GOLGB1;USO1;PREB;HYOU1;SEC24D;COPE;TMED5;BET1
Reactome_2022,ER To Golgi Anterograde Transport R-HSA-199977,10/133,3.3157166054853844e-08,5.849871439677785e-07,0,0,12.343339587242026,212.57708044272724,COPA;SCFD1;SAR1B;COPB1;GOLGB1;USO1;PREB;SEC24D;COPE;BET1
KEGG_2021_Human,Aminoacyl-tRNA biosynthesis,8/66,1.92270739192698e-08,8.65218326367141e-07,0,0,20.691745036572623,367.6291260468355,GARS1;AARS1;EPRS1;MARS1;IARS1;YARS1;CARS1;TARS1
GO_Biological_Process_2021,"regulation of retrograde protein transport, ER to cytosol (GO:1904152)",5/13,1.924270887374473e-08,1.3983035114921172e-06,0,0,91.9074074074074,1632.839279543355,ERLEC1;EDEM1;EDEM2;DERL2;UBE2J1
MSigDB_Hallmark_2020,Glycolysis,11/200,1.6736334867375865e-07,1.840996835411345e-06,0,0,8.874984619170666,138.47726050764658,ISG20;GMPPB;HAX1;STC2;CTH;DDIT4;GFPT1;GMPPA;AKR1A1;GLRX;GALK2
Reactome_2022,Transport To Golgi And Subsequent Modification R-HSA-948021,10/164,2.39771288400415e-07,3.948233882326834e-06,0,0,9.843156843156844,150.04495206861105,COPA;SCFD1;SAR1B;COPB1;GOLGB1;USO1;PREB;SEC24D;COPE;BET1
Reactome_2022,ER Quality Control Compartment (ERQC) R-HSA-901032,5/21,2.908524823263029e-07,4.4900351959123e-06,0,0,45.93518518518518,691.3451909614348,EDEM1;EDEM2;SEL1L;SYVN1;DERL2
GO_Biological_Process_2021,establishment of protein localization to endoplasmic reticulum (GO:0072599),5/17,9.046034888497132e-08,6.067801863668846e-06,0,0,61.25925925925926,993.524365683608,SEC61A1;SPCS2;EDEM1;ZFAND2A;SRP54
GO_Biological_Process_2021,nucleotide-sugar biosynthetic process (GO:0009226),5/19,1.6808290752586025e-07,1.0469163954467864e-05,0,0,52.5026455026455,818.9787119990987,GMPPB;GFPT1;PGM3;UAP1;NANS
Reactome_2022,Calnexin/calreticulin Cycle R-HSA-901042,5/26,9.141236572305628e-07,1.3281679019761703e-05,0,0,34.98941798941799,486.53835334784446,EDEM1;SEL1L;EDEM2;SYVN1;DERL2
KEGG_2021_Human,Protein export,5/23,4.755692631095125e-07,1.4267077893285376e-05,0,0,40.82716049382716,594.3925576437064,SRP19;SEC61A1;SPCS2;SRP54;SEC11C
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,6/48,1.0178954160654286e-06,2.290264686147214e-05,0,0,21.127931769722814,291.5184145430046,GMPPB;GMPPA;GFPT1;PGM3;UAP1;NANS
GO_Biological_Process_2021,protein N-linked glycosylation (GO:0006487),7/67,4.338831116353012e-07,2.5223071556398843e-05,0,0,17.36842105263158,254.45589053472048,RPN2;OSTC;RPN1;GFPT1;PGM3;DDOST;UBE2J1
GO_Biological_Process_2021,L-serine metabolic process (GO:0006563),4/10,4.674309943418639e-07,2.547498919163158e-05,0,0,97.32352941176472,1418.589137434636,PSAT1;SHMT2;PHGDH;PSPH
GO_Biological_Process_2021,"protein alpha-1,2-demannosylation (GO:0036508)",5/24,5.973483712246172e-07,2.893820998377034e-05,0,0,38.67641325536062,554.2626032266801,EDEM1;EDEM2;SEL1L;SYVN1;DERL2
GO_Biological_Process_2021,COPII-coated vesicle budding (GO:0090114),7/70,5.877419887991987e-07,2.893820998377034e-05,0,0,16.538847117794486,237.2824721042512,SCFD1;SAR1B;USO1;PREB;SEC24D;SEC23B;BET1
Reactome_2022,PERK Regulates Gene Expression R-HSA-381042,5/32,2.7056039509410398e-06,3.712689866013537e-05,0,0,27.20576131687243,348.78290399019903,DDIT3;ASNS;EIF2S2;ATF3;HERPUD1
GO_Biological_Process_2021,serine family amino acid biosynthetic process (GO:0009070),4/12,1.0898710510983e-06,5.001934508198513e-05,0,0,72.98529411764706,1002.0480317503424,PSAT1;CTH;PHGDH;PSPH
Reactome_2022,N-glycan Trimming In ER And Calnexin/Calreticulin Cycle R-HSA-532668,5/35,4.288684406315016e-06,5.5752897282095214e-05,0,0,24.48148148148148,302.5796179674998,EDEM1;SEL1L;EDEM2;SYVN1;DERL2
Reactome_2022,Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219,6/63,5.171211997952722e-06,6.386446817471611e-05,0,0,15.55616653574234,189.35593548711356,GMPPB;GMPPA;GFPT1;PGM3;UAP1;NANS
Reactome_2022,COPII-mediated Vesicle Transport R-HSA-204005,6/66,6.797183696991366e-06,7.994782729318417e-05,0,0,14.776119402985074,175.8210771916483,SCFD1;SAR1B;USO1;PREB;SEC24D;BET1
GO_Biological_Process_2021,protein transport (GO:0015031),13/369,2.0210502413768465e-06,8.392170526098144e-05,0,0,5.608068654339556,73.53239759151658,COPA;SAR1B;SEL1L;USO1;GOLPH3L;ARL1;TVP23B;PDIA4;HSP90B1;SCFD1;PREB;RAB5A;TMED5
GO_Biological_Process_2021,protein N-linked glycosylation via asparagine (GO:0018279),5/30,1.9363038161836857e-06,8.392170526098144e-05,0,0,29.385185185185183,386.5541668725822,RPN2;OSTC;RPN1;DDOST;UBE2J1
GO_Biological_Process_2021,peptidyl-asparagine modification (GO:0018196),5/31,2.295724651389782e-06,9.099417709144954e-05,0,0,28.25356125356125,366.8572928020351,RPN2;OSTC;RPN1;DDOST;UBE2J1
MSigDB_Hallmark_2020,p53 Pathway,9/200,1.1831683450728307e-05,9.761138846850857e-05,0,0,7.074897086447384,80.26279429856345,TSPYL2;SEC61A1;DDIT3;DDIT4;TRIB3;SLC3A2;SLC7A11;MXD1;ATF3
GO_Biological_Process_2021,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236),4/15,2.9567290771165656e-06,0.00011209859805415848,0,0,53.07219251336898,675.6847416437581,XBP1;SELENOS;SYVN1;HERPUD1
GO_Biological_Process_2021,Golgi organization (GO:0007030),8/130,3.734825828647503e-06,0.0001356986717741926,0,0,9.805265772478888,122.54434247300014,GOLGA5;GORASP2;GOLGB1;GOLPH3L;ARL1;LYSMD3;TMED5;BET1
KEGG_2021_Human,"Glycine, serine and threonine metabolism",5/40,8.452072660129329e-06,0.00015213730788232792,0,0,20.978835978835978,245.05585706693327,SHMT2;PSAT1;CTH;PHGDH;PSPH
GO_Biological_Process_2021,COPII vesicle coating (GO:0048208),6/63,5.171211997952722e-06,0.00016701099489684347,0,0,15.55616653574234,189.35593548711356,SCFD1;SAR1B;USO1;PREB;SEC24D;BET1
GO_Biological_Process_2021,vesicle coating (GO:0006901),6/63,5.171211997952722e-06,0.00016701099489684347,0,0,15.55616653574234,189.35593548711356,SCFD1;SAR1B;USO1;PREB;SEC24D;BET1
GO_Biological_Process_2021,"vesicle targeting, rough ER to cis-Golgi (GO:0048207)",6/63,5.171211997952722e-06,0.00016701099489684347,0,0,15.55616653574234,189.35593548711356,SCFD1;SAR1B;USO1;PREB;SEC24D;BET1
Reactome_2022,Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,6/77,1.6653698141340675e-05,0.00018697561095050663,0,0,12.479924322051714,137.3150879547574,GMPPB;GMPPA;GFPT1;PGM3;UAP1;NANS
Reactome_2022,Synthesis Of UDP-N-acetyl-glucosamine R-HSA-446210,3/8,1.8322328553421745e-05,0.00019676587620413787,0,0,86.95620437956204,948.465242987642,GFPT1;PGM3;UAP1
GO_Biological_Process_2021,L-serine biosynthetic process (GO:0006564),3/6,6.611312006564352e-06,0.0001987953127491074,0,0,144.94160583941607,1728.6791718756297,PSAT1;PHGDH;PSPH
GO_Biological_Process_2021,positive regulation of response to endoplasmic reticulum stress (GO:1905898),4/18,6.520965565102731e-06,0.0001987953127491074,0,0,41.69327731092437,497.8380815887308,ERN1;XBP1;DDIT3;PMAIP1
Reactome_2022,COPI-mediated Anterograde Transport R-HSA-6807878,6/80,2.0747928443808552e-05,0.00021353076356752968,0,0,11.972166196046793,129.09663611008122,COPA;COPB1;GOLGB1;USO1;COPE;BET1
GO_Biological_Process_2021,endoplasmic reticulum mannose trimming (GO:1904380),4/19,8.215086465572783e-06,0.0002387851799326489,0,0,38.91176470588236,455.6387984126557,EDEM2;SEL1L;SYVN1;DERL2
Reactome_2022,Serine Biosynthesis R-HSA-977347,3/9,2.7342600539042648e-05,0.0002701448933257414,0,0,72.45985401459853,761.3403679595934,PSAT1;PHGDH;PSPH
Reactome_2022,ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,4/27,3.561415430317833e-05,0.0003383344658801941,0,0,25.367007672634276,259.828359385621,DDIT3;ASNS;ATF3;HERPUD1
GO_Biological_Process_2021,cellular response to glucose starvation (GO:0042149),5/43,1.2157940238703089e-05,0.0003419910931660997,0,0,19.319688109161792,218.65111275030543,XBP1;SESN2;PMAIP1;ASNS;CPEB4
MSigDB_Hallmark_2020,Protein Secretion,6/96,5.84084689904232e-05,0.00038549589533679306,0,0,9.835820895522389,95.88007055298866,COPB1;USO1;SEC24D;RAB5A;COPE;BET1
MSigDB_Hallmark_2020,Androgen Response,6/100,7.340718321018319e-05,0.00040373950765600753,0,0,9.415369958717053,89.6295085236905,SRP19;PGM3;DNAJB9;UAP1;SEC24D;UBE2J1
GO_Biological_Process_2021,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),11/321,1.6539729655582528e-05,0.0004507076331146239,0,0,5.3775943985996495,59.20594418952725,SELENOS;DDIT3;EDEM1;ZFAND2A;SEL1L;SYVN1;DERL2;DNAJB9;HSP90B1;UBE2J1;HERPUD1
GO_Biological_Process_2021,"negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)",3/9,2.7342600539042648e-05,0.0006644164924617704,0,0,72.45985401459853,761.3403679595934,ERLEC1;DERL2;UBE2J1
GO_Biological_Process_2021,negative regulation of response to endoplasmic reticulum stress (GO:1903573),4/25,2.5951012919605028e-05,0.0006644164924617704,0,0,27.785714285714285,293.3976905121223,XBP1;SELENOS;SYVN1;HERPUD1
GO_Biological_Process_2021,ATF6-mediated unfolded protein response (GO:0036500),3/9,2.7342600539042648e-05,0.0006644164924617704,0,0,72.45985401459853,761.3403679595934,XBP1;DDIT3;HSP90B1
GO_Biological_Process_2021,response to insulin (GO:0032868),6/84,2.7430038679614372e-05,0.0006644164924617704,0,0,11.355912743972446,119.28105212178384,XBP1;SELENOS;EPRS1;MARS1;TRIB3;PCK2
Reactome_2022,Amino Acid Transport Across Plasma Membrane R-HSA-352230,4/33,8.03778901636573e-05,0.0007353088470527168,0,0,20.112576064908723,189.63688233436685,SLC1A4;SLC3A2;SLC7A11;SLC7A1
GO_Biological_Process_2021,regulation of endoplasmic reticulum unfolded protein response (GO:1900101),3/10,3.886065258720275e-05,0.0008917497120010736,0,0,62.105318039624606,630.7123162278714,ERN1;XBP1;FICD
GO_Biological_Process_2021,negative regulation of protein exit from endoplasmic reticulum (GO:0070862),3/10,3.886065258720275e-05,0.0008917497120010736,0,0,62.105318039624606,630.7123162278714,ERLEC1;DERL2;UBE2J1
